SPECIES,Family
Allophryne relicta,Allophrynidae
Allophryne resplendens,Allophrynidae
Allophryne ruthveni,Allophrynidae
Limnomedusa macroglossa,Alsodidae
Allobates albiventris,Aromobatidae
Allobates bacurau,Aromobatidae
Allobates brunneus,Aromobatidae
Allobates caeruleodactylus,Aromobatidae
Allobates carajas,Aromobatidae
Allobates conspicuus,Aromobatidae
Allobates crombiei,Aromobatidae
Allobates femoralis,Aromobatidae
Allobates flaviventris,Aromobatidae
Allobates fuscellus,Aromobatidae
Allobates gasconi,Aromobatidae
Allobates goianus,Aromobatidae
Allobates grillicantus,Aromobatidae
Allobates grillisimilis,Aromobatidae
Allobates hodli,Aromobatidae
Allobates juami,Aromobatidae
Allobates kamilae,Aromobatidae
Allobates magnussoni,Aromobatidae
Allobates marchesianus,Aromobatidae
Allobates masniger,Aromobatidae
Allobates nidicola,Aromobatidae
Allobates nunciatus,Aromobatidae
Allobates pacaas,Aromobatidae
Allobates paleci,Aromobatidae
Allobates paleovarzensis,Aromobatidae
Allobates ripicolus,Aromobatidae
Allobates subfolionidificans,Aromobatidae
Allobates sumtuosus,Aromobatidae
Allobates tapajos,Aromobatidae
Allobates tinae,Aromobatidae
Allobates vanzolinius,Aromobatidae
Anomaloglossus apiau,Aromobatidae
Anomaloglossus baeobatrachus,Aromobatidae
Anomaloglossus beebei,Aromobatidae
Anomaloglossus stepheni,Aromobatidae
Anomaloglossus tamacuarensis,Aromobatidae
Anomaloglossus tepequem,Aromobatidae
Dryadobates alagoanus,Aromobatidae
Dryadobates bokermanni,Aromobatidae
Dryadobates capixaba,Aromobatidae
Dryadobates carioca,Aromobatidae
Dryadobates lutzi,Aromobatidae
Dryadobates olfersioides,Aromobatidae
Amazophrynella bilinguis,Bufonidae
Amazophrynella bokermanni,Bufonidae
Amazophrynella gardai,Bufonidae
Amazophrynella manaos,Bufonidae
Amazophrynella minuta,Bufonidae
Amazophrynella moisesii,Bufonidae
Amazophrynella teko,Bufonidae
Amazophrynella vote,Bufonidae
Amazophrynella xinguensis,Bufonidae
Atelopus flavescens,Bufonidae
Atelopus hoogmoedi,Bufonidae
Atelopus manauensis,Bufonidae
Dendrophryniscus berthalutzae,Bufonidae
Dendrophryniscus brevipollicatus,Bufonidae
Dendrophryniscus carvalhoi,Bufonidae
Dendrophryniscus cuca,Bufonidae
Dendrophryniscus davori,Bufonidae
Dendrophryniscus haddadi,Bufonidae
Dendrophryniscus imitator,Bufonidae
Dendrophryniscus izecksohni,Bufonidae
Dendrophryniscus jureia,Bufonidae
Dendrophryniscus krausae,Bufonidae
Dendrophryniscus lauroi,Bufonidae
Dendrophryniscus leucomystax,Bufonidae
Dendrophryniscus oreites,Bufonidae
Dendrophryniscus organensis,Bufonidae
Dendrophryniscus skuki,Bufonidae
Dendrophryniscus stawiarskyi,Bufonidae
Frostius erythrophthalmus,Bufonidae
Frostius pernambucensis,Bufonidae
Melanophryniscus admirabilis,Bufonidae
Melanophryniscus alipioi,Bufonidae
Melanophryniscus atroluteus,Bufonidae
Melanophryniscus biancae,Bufonidae
Melanophryniscus cambaraensis,Bufonidae
Melanophryniscus devincenzii,Bufonidae
Melanophryniscus dorsalis,Bufonidae
Melanophryniscus fulvoguttatus,Bufonidae
Melanophryniscus macrogranulosus,Bufonidae
Melanophryniscus milanoi,Bufonidae
Melanophryniscus montevidensis,Bufonidae
Melanophryniscus moreirae,Bufonidae
Melanophryniscus pachyrhynus,Bufonidae
Melanophryniscus peritus,Bufonidae
Melanophryniscus setiba,Bufonidae
Melanophryniscus simplex,Bufonidae
Melanophryniscus spectabilis,Bufonidae
Melanophryniscus tumifrons,Bufonidae
Melanophryniscus vilavelhensis,Bufonidae
Melanophryniscus xanthostomus,Bufonidae
Oreophrynella quelchii,Bufonidae
Oreophrynella weiassipuensis,Bufonidae
Rhaebo ecuadoriensis,Bufonidae
Rhaebo guttatus,Bufonidae
Rhinella achavali,Bufonidae
Rhinella acutirostris,Bufonidae
Rhinella arenarum,Bufonidae
Rhinella azarai,Bufonidae
Rhinella bergi,Bufonidae
Rhinella casconi,Bufonidae
Rhinella castaneotica,Bufonidae
Rhinella ceratophrys,Bufonidae
Rhinella cerradensis,Bufonidae
Rhinella crucifer,Bufonidae
Rhinella dapsilis,Bufonidae
Rhinella diptycha,Bufonidae
Rhinella dorbignyi,Bufonidae
Rhinella exostosica,Bufonidae
Rhinella fernandezae,Bufonidae
Rhinella granulosa,Bufonidae
Rhinella henseli,Bufonidae
Rhinella hoogmoedi,Bufonidae
Rhinella icterica,Bufonidae
Rhinella inopina,Bufonidae
Rhinella magnussoni,Bufonidae
Rhinella major,Bufonidae
Rhinella margaritifera,Bufonidae
Rhinella marina,Bufonidae
Rhinella martyi,Bufonidae
Rhinella merianae,Bufonidae
Rhinella mirandaribeiroi,Bufonidae
Rhinella nattereri,Bufonidae
Rhinella ocellata,Bufonidae
Rhinella ornata,Bufonidae
Rhinella parecis,Bufonidae
Rhinella poeppigii,Bufonidae
Rhinella proboscidea,Bufonidae
Rhinella pygmaea,Bufonidae
Rhinella rubescens,Bufonidae
Rhinella sebbeni,Bufonidae
Rhinella stanlaii,Bufonidae
Rhinella teotoniensis,Bufonidae
Rhinella veredas,Bufonidae
Hyalinobatrachium cappellei,Centrolenidae
Hyalinobatrachium carlesvilai,Centrolenidae
Hyalinobatrachium iaspidiense,Centrolenidae
Hyalinobatrachium mondolfi,Centrolenidae
Hyalinobatrachium munozorum,Centrolenidae
Teratohyla adenocheira,Centrolenidae
Teratohyla midas,Centrolenidae
Vitreorana assuh,Centrolenidae
Vitreorana baliomma,Centrolenidae
Vitreorana eurygnatha,Centrolenidae
Vitreorana franciscana,Centrolenidae
Vitreorana parvula,Centrolenidae
Vitreorana ritae,Centrolenidae
Ceratophrys aurita,Ceratophryidae
Ceratophrys cornuta,Ceratophryidae
Ceratophrys cranwelli,Ceratophryidae
Ceratophrys joazeirensis,Ceratophryidae
Ceratophrys ornata,Ceratophryidae
Lepidobatrachus asper,Ceratophryidae
Cycloramphis faustoi,Cycloramphidae
Cycloramphus acangatan,Cycloramphidae
Cycloramphus asper,Cycloramphidae
Cycloramphus bandeirensis,Cycloramphidae
Cycloramphus bolitoglossus,Cycloramphidae
Cycloramphus boraceiensis,Cycloramphidae
Cycloramphus brasiliensis,Cycloramphidae
Cycloramphus carvalhoi,Cycloramphidae
Cycloramphus catarinensis,Cycloramphidae
Cycloramphus cedrensis,Cycloramphidae
Cycloramphus diringshofeni,Cycloramphidae
Cycloramphus dubius,Cycloramphidae
Cycloramphus duseni,Cycloramphidae
Cycloramphus eleutherodactylus,Cycloramphidae
Cycloramphus fulginosus,Cycloramphidae
Cycloramphus granulosus,Cycloramphidae
Cycloramphus izecksohni,Cycloramphidae
Cycloramphus juimirim,Cycloramphidae
